City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1,Colac,29,AU,1572289148,80,-38.34,143.59,54,2.84
2,Juba,77,EE,1572289148,86,57.82,26.93,37.4,3.36
3,Thompson,90,CA,1572289148,85,55.74,-97.86,19.4,14.99
4,Vaitape,33,PF,1572289149,82,-16.52,-151.75,78.94,15.21
5,Marawi,93,PH,1572289149,90,8,124.29,77,5.99
6,Rome,20,IT,1572289021,87,41.89,12.48,64.99,5.82
7,Mattru,83,SL,1572289149,88,7.62,-11.83,79.18,4.09
8,Celina,1,US,1572289149,45,40.55,-84.57,66.99,10.29
9,Rikitea,86,PF,1572289150,83,-23.12,-134.97,71.6,17.85
10,El Angel,75,EC,1572289150,67,0.62,-77.93,59,11.41
11,Devils Lake,90,US,1572289150,63,48.11,-98.87,30.2,18.34
12,Mataura,67,NZ,1572289150,88,-46.19,168.86,44.01,1.99
13,Neyyattinkara,40,IN,1572289150,94,8.4,77.08,78.8,1.12
14,Puerto Ayora,75,EC,1572289150,57,-0.74,-90.35,78.8,12.75
15,Boyolangu,69,ID,1572289151,93,-8.09,111.9,70.95,3.76
16,Banepa,75,NP,1572289151,93,27.63,85.52,59,2.24
17,Baikunthpur,35,IN,1572289151,87,23.26,82.56,64.89,1.59
18,Zemio,54,CF,1572289151,73,5.02,25.13,72.28,2.77
19,Punta Arenas,75,CL,1572289151,45,-53.16,-70.91,44.6,11.41
20,Hobart,100,AU,1572289152,37,-42.88,147.33,54,12.75
21,Brownwood,90,US,1572289152,81,31.71,-98.99,51.01,4.7
22,Kuala Terengganu,75,MY,1572289152,94,5.33,103.14,77,4.38
23,Bethel,90,US,1572288963,93,60.79,-161.76,39.2,4.7
24,Dovolnoye,94,RU,1572289153,90,54.5,79.67,48.99,20.92
25,Atuona,92,PF,1572289153,77,-9.8,-139.03,79.56,19.24
26,Nikolskoye,56,RU,1572289153,81,59.7,30.79,34,2.24
27,Egvekinot,84,RU,1572289153,85,66.32,-179.17,12.52,9.08
28,Dunedin,100,NZ,1572289120,82,-45.87,170.5,48.11,6.38
29,Khatanga,22,RU,1572289154,78,71.98,102.47,7.02,18.01
30,Ahipara,100,NZ,1572289154,100,-35.17,173.16,55.99,15.77
31,Otjimbingwe,3,NA,1572289154,12,-22.35,16.13,68.07,7.49
32,Siguiri,3,GN,1572289154,33,11.42,-9.17,83.37,2.06
33,Jamestown,0,AU,1572289154,38,-33.21,138.6,55.17,7.56
34,Pouso Alegre,22,BR,1572289155,55,-22.23,-45.93,86,6.08
35,Luderitz,0,NA,1572289155,73,-26.65,15.16,58.96,30.87
36,Ushuaia,20,AR,1572289091,69,-54.81,-68.31,39.2,25.28
37,Bambous Virieux,20,MU,1572289155,83,-20.34,57.76,71.6,6.15
38,Flinders,0,AU,1572289155,100,-34.58,150.85,57.99,5.82
39,Hasaki,75,JP,1572289156,82,35.73,140.83,60.8,8.05
40,Pangkalanbuun,82,ID,1572289156,92,-2.68,111.62,73.51,1.72
41,Fortuna,1,US,1572289156,57,40.6,-124.16,54,4.7
42,Lorengau,7,PG,1572289156,66,-2.02,147.27,83.66,3.42
43,Kaitangata,96,NZ,1572289156,88,-46.28,169.85,45,3
44,Porto de Moz,100,BR,1572289157,32,-1.75,-52.24,98.38,5.08
45,Bredasdorp,19,ZA,1572289157,76,-34.53,20.04,50,21.92
46,Baghdad,0,IQ,1572288971,64,33.3,44.38,71.6,5.82
47,Watrous,100,CA,1572289157,88,51.67,-105.46,18.36,17.43
48,Ouango,81,CD,1572289157,96,4.31,22.55,70.36,2.19
49,Lalmohan,3,BD,1572289158,82,22.34,90.74,73.11,6.42
50,Hilo,90,US,1572288881,69,19.71,-155.08,77,10.29
51,Upernavik,99,GL,1572289159,96,72.79,-56.15,27,8.75
52,Qaanaaq,0,GL,1572289159,86,77.48,-69.36,7.56,7.02
53,Busselton,100,AU,1572289159,47,-33.64,115.35,54,10.8
54,Barrow,99,AR,1572289160,91,-38.31,-60.23,51.51,7.23
55,Iqaluit,40,CA,1572289160,74,63.75,-68.52,33.8,16.11
56,Bandarbeyla,98,SO,1572289160,58,9.49,50.81,80.26,4.7
57,Santiago,64,PH,1572289160,95,16.69,121.54,70.38,1.88
58,Aitape,72,PG,1572289160,76,-3.15,142.36,82.53,5.57
59,San Cristobal,73,HN,1572289161,56,14.68,-86.92,81.59,8.43
60,Mount Isa,90,AU,1572289161,56,-20.73,139.49,68,11.41
61,New Norfolk,100,AU,1572289161,37,-42.78,147.06,54,12.75
62,Port Hardy,90,CA,1572289161,75,50.7,-127.42,46.4,8.05
63,Port Elizabeth,90,US,1572289161,63,39.31,-74.98,69.01,10.29
64,Saskylakh,99,RU,1572289161,96,71.97,114.09,0.5,6.76
65,Pimentel,77,BR,1572289162,38,-3.7,-45.5,95.05,2.59
66,Kaya,87,NG,1572289162,15,13.31,12.68,90.3,9.78
67,Palauig,82,PH,1572289162,77,15.44,119.9,75.52,4.99
68,Tuktoyaktuk,90,CA,1572289163,73,69.44,-133.03,24.8,28.86
69,The Valley,75,AI,1572289163,78,18.22,-63.06,80.6,17.22
70,Vanavara,100,RU,1572289163,94,60.35,102.28,19.35,7.18
71,Tuatapere,98,NZ,1572289163,88,-46.13,167.69,44.01,1.99
72,Narsaq,75,GL,1572289163,49,60.91,-46.05,46.4,9.17
73,Bluff,57,AU,1572289163,83,-23.58,149.07,67.57,10.63
74,Provideniya,100,RU,1572289164,91,64.42,-173.23,27.91,11.23
75,Klaksvik,97,FO,1572289164,74,62.23,-6.59,37.4,5.82
76,Ebeltoft,10,DK,1572289164,81,56.2,10.68,42.8,3.36
77,Cedar City,1,US,1572288904,12,37.68,-113.06,33.01,3.36
78,Nola,89,CF,1572289164,95,3.52,16.05,70.77,2.04
79,Vaini,85,IN,1572289164,92,15.34,74.49,69.57,2.82
80,Beringovskiy,100,RU,1572289165,66,63.05,179.32,21.02,26.31
81,Marienburg,4,DE,1572289165,87,52.12,9.98,46,3.36
82,Tiksi,100,RU,1572289165,96,71.64,128.87,-0.82,1.72
83,Yellowknife,90,CA,1572289120,78,62.45,-114.38,14,12.75
84,Noyabrsk,95,RU,1572289165,94,63.2,75.45,6.8,9.48
85,Diapaga,9,BF,1572289165,42,12.07,1.79,84.96,5.44
86,Palana,100,RU,1572289166,67,59.08,159.95,32.22,1.25
87,Barbastro,76,ES,1572289166,100,42.04,0.13,59,1.12
88,Namibe,100,AO,1572289166,79,-15.19,12.15,70.43,12.19
89,Ribeira Grande,40,PT,1572289166,77,38.52,-28.7,68,20.8
90,Rodrigues Alves,90,BR,1572289167,94,-7.74,-72.65,75.2,10.29
91,Yulara,0,AU,1572289167,17,-25.24,130.99,64.4,5.82
92,Raudeberg,40,NO,1572289167,75,61.99,5.14,42.8,5.82
93,Vladimir,44,RU,1572289167,82,56.13,40.41,33.46,3.85
